timestamp,message,logStreamName
1693337843465,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337843472,"START RequestId: fa6a3352-170a-490f-974a-2f4d94e748ff Version: $LATEST
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337843485,"END RequestId: 6cffd8c8-6282-41a3-ba77-d2e868562c6f
",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337843485,"REPORT RequestId: 6cffd8c8-6282-41a3-ba77-d2e868562c6f	Duration: 544.12 ms	Billed Duration: 545 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337843486,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337843505,"END RequestId: 8973ef81-f3c0-435c-8c3b-71af8a2235a9
",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337843505,"REPORT RequestId: 8973ef81-f3c0-435c-8c3b-71af8a2235a9	Duration: 560.30 ms	Billed Duration: 561 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337843612,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337843631,"END RequestId: fa6a3352-170a-490f-974a-2f4d94e748ff
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337843631,"REPORT RequestId: fa6a3352-170a-490f-974a-2f4d94e748ff	Duration: 159.85 ms	Billed Duration: 160 ms	Memory Size: 128 MB	Max Memory Used: 79 MB	
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337843828,"START RequestId: 158f07e1-350a-4441-8f0d-80d98f1e52a7 Version: $LATEST
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
